# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Thu Mar 28 05:24:12 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1553765053;2195114572;99584;1578240;0.00;0.00;0.00;389;6165;26216;24660;102;33;0;0;99328;1579264;0.00;0.00;0.00;388;6169;26228;24676;101;33;0;0;99584;1582080;0.00;0.00;0.00;389;6180;26276;24720;101;33;0;0;99840;1583104;0.00;0.00;0.00;390;6184;26296;24736;101;33;0;0;99840;1584128;0.00;0.00;0.00;390;6188;26312;24752;101;33;0;0;99584;1584384;0.00;0.00;0.00;389;6189;26312;24756;101;33;0;0;29256704;3117824;0.27;0.40;0.00;114284;12179;505852;48716;157158;20299;0;0;30352128;3109632;0.26;0.40;0.00;118563;12147;522840;48588;160249;20285;0;0;29576704;3122688;0.26;0.40;0.00;115534;12198;510928;48792;156269;20272;0;0;30692864;3108096;0.26;0.40;0.00;119894;12141;528140;48564;162163;20273;0;0;31351040;3109120;0.27;0.40;0.00;122465;12145;538440;48580;167641;20242;0;0;29939968;3117824;0.27;0.40;0.00;116953;12179;516528;48716;159556;20217;0;0;
1553765054;2195119982;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100608;1590784;0.00;0.00;0.00;393;6214;26428;24856;101;33;0;0;100096;1591296;0.00;0.00;0.00;391;6216;26428;24864;101;33;0;0;100096;1591296;0.00;0.00;0.00;391;6216;26428;24864;101;33;0;0;100352;1591552;0.00;0.00;0.00;392;6217;26436;24868;101;33;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;101;33;0;0;29112576;2735872;0.29;0.23;0.00;113721;10687;497632;42748;161005;13835;0;0;30894848;2737920;0.27;0.22;0.00;120683;10695;525512;42780;166016;13713;0;0;29334784;3088896;0.28;0.38;0.00;114589;12066;506620;48264;159410;19393;0;0;30808576;3094016;0.29;0.37;0.00;120346;12086;529728;48344;169667;19243;0;0;31511040;3103488;0.28;0.37;0.00;123090;12123;540852;48492;170723;19257;0;0;30522624;3096320;0.28;0.37;0.00;119229;12095;525296;48380;164901;19311;0;0;
1553765055;2195120850;101120;1591552;0.00;0.00;0.00;395;6217;26448;24868;101;33;0;0;100096;1591296;0.00;0.00;0.00;391;6216;26428;24864;101;33;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;101;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;101;33;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;101;33;0;0;30229504;3211776;0.29;0.39;0.00;118084;12546;522520;50184;165191;20448;0;0;30357248;3209216;0.29;0.39;0.00;118583;12536;524476;50144;167953;20415;0;0;29492480;2871552;0.28;0.25;0.00;115205;11217;505688;44868;159896;14904;0;0;31280128;2849280;0.28;0.25;0.00;122188;11130;533272;44520;170785;14838;0;0;32378112;2838016;0.27;0.25;0.00;126477;11086;550252;44344;174312;14772;0;0;31584256;2851072;0.27;0.25;0.00;123376;11137;538052;44548;168679;14831;0;0;
1553765056;2194991228;100352;1590784;0.00;0.00;0.00;392;6214;26424;24856;101;33;0;0;100352;1590784;0.00;0.00;0.00;392;6214;26424;24856;101;33;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;101;33;0;0;100352;1590784;0.00;0.00;0.00;392;6214;26424;24856;101;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100096;1591296;0.00;0.00;0.00;391;6216;26428;24864;101;33;0;0;27279360;3217920;0.29;0.38;0.00;106560;12570;476520;50280;151009;20241;0;0;28598272;3199232;0.30;0.38;0.00;111712;12497;496836;49988;159519;20224;0;0;27870720;3199232;0.30;0.39;0.00;108870;12497;485468;49988;156275;20363;0;0;29049088;3183360;0.31;0.38;0.00;113473;12435;503632;49740;165459;20045;0;0;29419264;3193088;0.29;0.38;0.00;114919;12473;509568;49892;160881;20114;0;0;28921856;3217920;0.30;0.38;0.00;112976;12570;502184;50280;162041;20169;0;0;
1553765057;2195123432;100096;1591296;0.00;0.00;0.00;391;6216;26428;24864;101;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100352;1590528;0.00;0.00;0.00;392;6213;26420;24852;101;33;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;101;33;0;0;100352;1590016;0.00;0.00;0.00;392;6211;26412;24844;101;33;0;0;100352;1589760;0.00;0.00;0.00;392;6210;26408;24840;101;33;0;0;92120832;6191616;0.19;0.21;0.00;359847;24186;1536132;96744;441659;30653;0;0;93674240;6167808;0.18;0.21;0.00;365915;24093;1560032;96372;448003;30468;0;0;93142016;6140416;0.19;0.21;0.00;363836;23986;1551288;95944;447243;30433;0;0;94442496;6187264;0.19;0.21;0.00;368916;24169;1572340;96676;456158;30544;0;0;96486144;6195456;0.19;0.21;0.00;376899;24201;1604400;96804;466458;30719;0;0;98168832;6092288;0.20;0.21;0.00;383472;23798;1629080;95192;476742;30192;0;0;
1553765058;2195116166;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;101;33;0;0;100096;1591552;0.00;0.00;0.00;391;6217;26432;24868;101;33;0;0;100096;1591296;0.00;0.00;0.00;391;6216;26428;24864;101;33;0;0;100352;1591552;0.00;0.00;0.00;392;6217;26436;24868;101;33;0;0;100096;1592064;0.00;0.00;0.00;391;6219;26440;24876;101;33;0;0;100096;1592832;0.00;0.00;0.00;391;6222;26452;24888;101;33;0;0;99899904;2551040;0.29;0.13;0.00;390234;9965;1600796;39860;547753;11481;0;0;99027456;2549504;0.28;0.12;0.00;386826;9959;1587140;39836;539472;11344;0;0;95963136;2532864;0.28;0.12;0.00;374856;9894;1539000;39576;521236;11260;0;0;98954240;2546176;0.28;0.13;0.00;386540;9946;1585944;39784;539955;11437;0;0;99835392;2552832;0.29;0.12;0.00;389982;9972;1599816;39888;547961;11317;0;0;101440000;2541312;0.29;0.12;0.00;396250;9927;1624708;39708;554218;11255;0;0;
1553765059;2195119586;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;101;33;0;0;100352;1591808;0.00;0.00;0.00;392;6218;26440;24872;101;33;0;0;100096;1592320;0.00;0.00;0.00;391;6220;26444;24880;101;33;0;0;100352;1592320;0.00;0.00;0.00;392;6220;26448;24880;101;33;0;0;100352;1591808;0.00;0.00;0.00;392;6218;26440;24872;101;33;0;0;97936384;2920704;0.29;0.32;0.00;382564;11409;1575892;45636;541110;16773;0;0;98682880;2924032;0.29;0.32;0.00;385480;11422;1587608;45688;545777;16850;0;0;96800256;2921984;0.29;0.32;0.00;378126;11414;1558160;45656;531775;16715;0;0;98648832;2930432;0.29;0.31;0.00;385347;11447;1587176;45788;543824;16666;0;0;99855872;2938880;0.29;0.32;0.00;390062;11480;1606168;45920;552940;16862;0;0;101204736;2925824;0.29;0.31;0.00;395331;11429;1627040;45716;555247;16673;0;0;
1553765060;2195126522;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100352;1590528;0.00;0.00;0.00;392;6213;26420;24852;101;33;0;0;100096;1589760;0.00;0.00;0.00;391;6210;26404;24840;101;33;0;0;100096;1589504;0.00;0.00;0.00;391;6209;26400;24836;101;33;0;0;96478976;2494464;0.29;0.00;0.00;376871;9744;1546460;38976;531600;9759;0;0;97952256;2517248;0.29;0.01;0.00;382626;9833;1569836;39332;542271;9955;0;0;95848192;2497280;0.29;0.00;0.00;374407;9755;1536648;39020;529942;9750;0;0;95311616;2492160;0.30;0.01;0.00;372311;9735;1528184;38940;534835;9840;0;0;98601216;2506752;0.30;0.01;0.00;385161;9792;1579812;39168;547644;9902;0;0;99072000;2511104;0.29;0.01;0.00;387000;9809;1587236;39236;547209;9902;0;0;
1553765061;2195125310;100352;1591296;0.00;0.00;0.00;392;6216;26432;24864;101;33;0;0;100352;1590784;0.00;0.00;0.00;392;6214;26424;24856;101;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100608;1591552;0.00;0.00;0.00;393;6217;26440;24868;101;33;0;0;100352;1592064;0.00;0.00;0.00;392;6219;26444;24876;101;33;0;0;96241152;2628096;0.30;0.09;0.00;375942;10266;1544832;41064;535053;11320;0;0;97284864;2642432;0.30;0.10;0.00;380019;10322;1561364;41288;542676;11464;0;0;95090688;2635520;0.30;0.11;0.00;371448;10295;1526972;41180;527324;11574;0;0;94613760;2649344;0.31;0.09;0.00;369585;10349;1519736;41396;531933;11424;0;0;97725440;2672896;0.30;0.09;0.00;381740;10441;1568724;41764;543345;11490;0;0;99164160;2655488;0.30;0.11;0.00;387360;10373;1590932;41492;550412;11619;0;0;
1553765062;2195125584;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100352;1589760;0.00;0.00;0.00;392;6210;26408;24840;101;33;0;0;100096;1589504;0.00;0.00;0.00;391;6209;26400;24836;101;33;0;0;100096;1589248;0.00;0.00;0.00;391;6208;26396;24832;101;33;0;0;100096;1588736;0.00;0.00;0.00;391;6206;26388;24824;101;33;0;0;94294528;2959872;0.30;0.37;0.00;368338;11562;1519600;46248;528957;18362;0;0;96279808;2964480;0.30;0.37;0.00;376093;11580;1550692;46320;533472;18332;0;0;94465280;2954496;0.30;0.37;0.00;369005;11541;1522184;46164;529697;18382;0;0;93955584;2967040;0.30;0.37;0.00;367014;11590;1514416;46360;524767;18458;0;0;96756736;2960128;0.30;0.37;0.00;377956;11563;1558076;46252;540831;18447;0;0;98348288;2956800;0.30;0.37;0.00;384173;11550;1582892;46200;552095;18355;0;0;
