# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Thu Mar 28 05:26:13 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1553765174;2195120900;99584;1577728;0.00;0.00;0.00;389;6163;26208;24652;103;33;0;0;99584;1579264;0.00;0.00;0.00;389;6169;26232;24676;101;33;0;0;99840;1584640;0.00;0.00;0.00;390;6190;26320;24760;101;33;0;0;99840;1586432;0.00;0.00;0.00;390;6197;26348;24788;101;33;0;0;100096;1588992;0.00;0.00;0.00;391;6207;26392;24828;101;33;0;0;100352;1589504;0.00;0.00;0.00;392;6209;26404;24836;101;33;0;0;615387392;2410240;0.02;0.00;0.00;2403857;9415;9653088;37660;2455761;4942;0;0;617063680;2402304;0.02;0.00;0.00;2410405;9384;9679156;37536;2458192;4978;0;0;607984896;2378496;0.02;0.00;0.00;2374941;9291;9536928;37164;2431839;4856;0;0;619146496;2404096;0.02;0.00;0.00;2418541;9391;9711728;37564;2467381;5017;0;0;611390464;2405120;0.02;0.00;0.00;2388244;9395;9590556;37580;2442111;5052;0;0;611817472;2404608;0.02;0.00;0.00;2389912;9393;9597220;37572;2441861;4963;0;0;
1553765175;2195125210;101888;1591808;0.00;0.00;0.00;398;6218;26464;24872;101;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100352;1590784;0.00;0.00;0.00;392;6214;26424;24856;101;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100096;1591296;0.00;0.00;0.00;391;6216;26428;24864;101;33;0;0;482766336;2294272;0.07;0.00;0.00;1885806;8962;7579072;35848;2037492;4811;0;0;487291136;2287104;0.07;0.00;0.00;1903481;8934;7649660;35736;2041538;4770;0;0;486177024;2294272;0.07;0.00;0.00;1899129;8962;7632364;35848;2039013;4787;0;0;488349952;2325248;0.07;0.00;0.00;1907617;9083;7666800;36332;2047160;4852;0;0;480797440;2317056;0.08;0.00;0.00;1878115;9051;7548664;36204;2035285;4907;0;0;485431296;2317568;0.07;0.00;0.00;1896216;9053;7621076;36212;2047166;4838;0;0;
1553765176;2195117284;101632;1591808;0.00;0.00;0.00;397;6218;26460;24872;101;33;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;101;33;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;101;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;99840;1586432;0.00;0.00;0.00;390;6197;26348;24788;101;33;0;0;99840;1585920;0.00;0.00;0.00;390;6195;26340;24780;101;33;0;0;449244416;2290688;0.11;0.00;0.00;1754861;8948;7055236;35792;1963602;4704;0;0;448572672;2275072;0.10;0.00;0.00;1752237;8887;7044496;35548;1956438;4704;0;0;445053440;2271232;0.11;0.00;0.00;1738490;8872;6989448;35488;1955407;4698;0;0;447264512;2278400;0.11;0.00;0.00;1747127;8900;7024108;35600;1958152;4736;0;0;448112128;2271232;0.11;0.00;0.00;1750438;8872;7037240;35488;1959669;4682;0;0;451375104;2274816;0.10;0.00;0.00;1763184;8886;7088280;35544;1969159;4696;0;0;
1553765177;2195117550;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;101;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100608;1590272;0.00;0.00;0.00;393;6212;26420;24848;101;33;0;0;100096;1589504;0.00;0.00;0.00;391;6209;26400;24836;101;33;0;0;100352;1594112;0.00;0.00;0.00;392;6227;26476;24908;101;33;0;0;100352;1594624;0.00;0.00;0.00;392;6229;26484;24916;101;33;0;0;442205952;2244352;0.12;0.00;0.00;1727367;8767;6944536;35068;1963781;4800;0;0;442340352;2243840;0.12;0.00;0.00;1727892;8765;6946628;35060;1958369;4790;0;0;434281216;2249728;0.13;0.00;0.00;1696411;8788;6820796;35152;1951289;4792;0;0;435239168;2248192;0.13;0.00;0.00;1700153;8782;6835740;35128;1953627;4737;0;0;437865728;2254080;0.13;0.00;0.00;1710413;8805;6876872;35220;1959498;4808;0;0;442811904;2252800;0.12;0.00;0.00;1729734;8800;6954136;35200;1963607;4797;0;0;
1553765178;2195117136;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100352;1590784;0.00;0.00;0.00;392;6214;26424;24856;101;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100608;1591040;0.00;0.00;0.00;393;6215;26432;24860;101;33;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;101;33;0;0;100352;1590784;0.00;0.00;0.00;392;6214;26424;24856;101;33;0;0;428760832;2239744;0.14;0.00;0.00;1674847;8749;6734384;34996;1939073;4694;0;0;436806400;2250240;0.13;0.00;0.00;1706275;8790;6860260;35160;1950268;4671;0;0;433501696;2242048;0.13;0.00;0.00;1693366;8758;6808496;35032;1946147;4682;0;0;428376064;2241536;0.14;0.00;0.00;1673344;8756;6728400;35024;1942339;4718;0;0;420213760;2241024;0.15;0.00;0.00;1641460;8754;6600856;35016;1935020;4665;0;0;429830144;2256128;0.14;0.00;0.00;1679024;8813;6751348;35252;1942001;4672;0;0;
1553765179;2195125890;100096;1591296;0.00;0.00;0.00;391;6216;26428;24864;101;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100352;1591296;0.00;0.00;0.00;392;6216;26432;24864;101;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;101;33;0;0;431542784;2255360;0.13;0.00;0.00;1685714;8810;6778096;35240;1947453;4762;0;0;434327808;2257408;0.13;0.00;0.00;1696593;8818;6821644;35272;1952167;4728;0;0;429768448;2258432;0.14;0.00;0.00;1678783;8822;6750420;35288;1945627;4718;0;0;427373568;2255872;0.14;0.00;0.00;1669428;8812;6712960;35248;1942094;4739;0;0;424108288;2270464;0.14;0.00;0.00;1656673;8869;6662168;35476;1935073;4766;0;0;428550400;2264320;0.14;0.00;0.00;1674025;8845;6731480;35380;1937868;4748;0;0;
1553765180;2195114636;101888;1592064;0.00;0.00;0.00;398;6219;26468;24876;101;33;0;0;100352;1591296;0.00;0.00;0.00;392;6216;26432;24864;101;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100352;1592064;0.00;0.00;0.00;392;6219;26444;24876;101;33;0;0;100352;1592576;0.00;0.00;0.00;392;6221;26452;24884;101;33;0;0;100352;1593088;0.00;0.00;0.00;392;6223;26460;24892;101;33;0;0;430162176;2287616;0.14;0.00;0.00;1680321;8936;6757028;35744;1943712;4764;0;0;435602944;2291712;0.13;0.00;0.00;1701574;8952;6842104;35808;1954459;4787;0;0;428034048;2267904;0.14;0.00;0.00;1672008;8859;6723468;35436;1940450;4780;0;0;424835840;2291712;0.15;0.00;0.00;1659515;8952;6673868;35808;1943258;4784;0;0;422285824;2279168;0.15;0.00;0.00;1649554;8903;6633828;35612;1933680;4788;0;0;421983488;2268416;0.15;0.00;0.00;1648373;8861;6628936;35444;1936994;4753;0;0;
1553765181;2195114196;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100352;1591296;0.00;0.00;0.00;392;6216;26432;24864;101;33;0;0;100352;1591552;0.00;0.00;0.00;392;6217;26436;24868;101;33;0;0;100096;1591552;0.00;0.00;0.00;391;6217;26432;24868;101;33;0;0;100352;1591296;0.00;0.00;0.00;392;6216;26432;24864;101;33;0;0;100352;1590528;0.00;0.00;0.00;392;6213;26420;24852;101;33;0;0;424815360;2293760;0.14;0.00;0.00;1659435;8960;6673580;35840;1936571;4661;0;0;427511040;2300416;0.14;0.00;0.00;1669965;8986;6715804;35944;1948342;4692;0;0;426082304;2301440;0.14;0.00;0.00;1664384;8990;6693496;35960;1936743;4700;0;0;418424832;2296832;0.15;0.00;0.00;1634472;8972;6573776;35888;1929300;4681;0;0;417236480;2296576;0.15;0.00;0.00;1629830;8971;6555204;35884;1927915;4703;0;0;426436864;2298880;0.14;0.00;0.00;1665769;8980;6698996;35920;1940306;4699;0;0;
1553765182;2195115692;100608;1591040;0.00;0.00;0.00;393;6215;26432;24860;101;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100352;1590784;0.00;0.00;0.00;392;6214;26424;24856;101;33;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;101;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;424213248;2143232;0.14;0.00;0.00;1657083;8372;6661820;33488;1932741;3979;0;0;423202048;2136576;0.14;0.00;0.00;1653133;8346;6645916;33384;1925875;3997;0;0;423812864;2138624;0.14;0.00;0.00;1655519;8354;6655492;33416;1931915;4014;0;0;415791872;2129920;0.15;0.00;0.00;1624187;8320;6530028;33280;1916474;3975;0;0;416582656;2139904;0.15;0.00;0.00;1627276;8359;6542540;33436;1923825;3975;0;0;417262848;2142208;0.15;0.00;0.00;1629933;8368;6553204;33472;1928157;3968;0;0;
1553765183;2195123644;100864;1591552;0.00;0.00;0.00;394;6217;26444;24868;101;33;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;101;33;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;101;33;0;0;100096;1590272;0.00;0.00;0.00;391;6212;26412;24848;101;33;0;0;100096;1589760;0.00;0.00;0.00;391;6210;26404;24840;101;33;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;101;33;0;0;422646016;2151168;0.15;0.00;0.00;1650961;8403;6637456;33612;1932311;3888;0;0;421327104;2148608;0.15;0.00;0.00;1645809;8393;6616808;33572;1925901;3799;0;0;416553216;2148096;0.15;0.00;0.00;1627161;8391;6542208;33564;1923774;3801;0;0;416877824;2156288;0.15;0.00;0.00;1628429;8423;6547408;33692;1923685;3824;0;0;409708032;2144512;0.16;0.00;0.00;1600422;8377;6435196;33508;1904630;3800;0;0;417682176;2162688;0.15;0.00;0.00;1631571;8448;6560076;33792;1924934;3791;0;0;
