# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Thu Mar 28 05:27:41 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1553765262;2195114826;100864;1580032;0.00;0.00;0.00;394;6172;26264;24688;101;33;0;0;99584;1580544;0.00;0.00;0.00;389;6174;26252;24696;101;33;0;0;100352;1585920;0.00;0.00;0.00;392;6195;26348;24780;101;33;0;0;100352;1588992;0.00;0.00;0.00;392;6207;26396;24828;101;33;0;0;100096;1591296;0.00;0.00;0.00;391;6216;26428;24864;101;33;0;0;100352;1591296;0.00;0.00;0.00;392;6216;26432;24864;101;33;0;0;551213056;261116928;0.05;0.01;0.11;2153176;1019988;12692656;4079952;2255900;1030721;0;0;552406784;262604544;0.05;0.01;0.11;2157839;1025799;12734552;4103196;2260958;1036435;0;0;550911744;261096960;0.04;0.01;0.11;2151999;1019910;12687636;4079640;2252453;1030109;0;0;541708032;260780288;0.05;0.01;0.11;2116047;1018673;12538880;4074692;2218352;1029221;0;0;541084416;261025280;0.05;0.01;0.11;2113611;1019630;12532964;4078520;2217126;1029976;0;0;541728000;260030976;0.05;0.01;0.11;2116125;1015746;12527484;4062984;2217654;1025880;0;0;
1553765263;2195117334;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;101;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100352;1590272;0.00;0.00;0.00;392;6212;26416;24848;101;33;0;0;100352;1589504;0.00;0.00;0.00;392;6209;26404;24836;101;33;0;0;551298304;261310464;0.04;0.01;0.10;2153509;1020744;12697012;4082976;2252807;1028242;0;0;552256768;262455296;0.04;0.01;0.10;2157253;1025216;12729876;4100864;2256339;1032776;0;0;551482624;261340672;0.04;0.01;0.10;2154229;1020862;12700364;4083448;2251967;1028417;0;0;541219072;260498432;0.05;0.01;0.10;2114137;1017572;12526836;4070288;2214198;1024527;0;0;541293312;260862720;0.05;0.01;0.10;2114427;1018995;12533688;4075980;2215110;1026535;0;0;542133504;259728128;0.04;0.01;0.10;2117709;1014563;12529088;4058252;2214812;1021641;0;0;
1553765264;2195121728;100864;1591296;0.00;0.00;0.00;394;6216;26440;24864;101;33;0;0;100608;1590784;0.00;0.00;0.00;393;6214;26428;24856;101;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100352;1590016;0.00;0.00;0.00;392;6211;26412;24844;101;33;0;0;100096;1589760;0.00;0.00;0.00;391;6210;26404;24840;101;33;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;101;33;0;0;551040768;261030144;0.05;0.01;0.11;2152503;1019649;12688608;4078596;2253987;1029919;0;0;551157248;262559488;0.05;0.01;0.11;2152958;1025623;12714324;4102492;2256156;1035211;0;0;550362112;260978432;0.04;0.01;0.11;2149852;1019447;12677196;4077788;2250464;1028708;0;0;539795712;260069632;0.05;0.01;0.11;2108577;1015897;12497896;4063588;2212203;1025801;0;0;540828160;261107456;0.05;0.01;0.11;2112610;1019951;12530244;4079804;2216060;1030048;0;0;540355584;259195136;0.05;0.01;0.11;2110764;1012481;12492980;4049924;2212350;1022369;0;0;
1553765265;2195123062;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;101;33;0;0;100096;1591296;0.00;0.00;0.00;391;6216;26428;24864;101;33;0;0;100096;1591296;0.00;0.00;0.00;391;6216;26428;24864;101;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;551207424;261393152;0.05;0.01;0.11;2153154;1021067;12696884;4084268;2255042;1030449;0;0;552327936;262927616;0.04;0.01;0.11;2157531;1027061;12738368;4108244;2258635;1036190;0;0;550410752;261896192;0.04;0.01;0.11;2150042;1023032;12692296;4092128;2250470;1032160;0;0;541850112;260528384;0.05;0.01;0.11;2116602;1017689;12537164;4070756;2217550;1027123;0;0;540069120;260944384;0.05;0.01;0.11;2109645;1019314;12515836;4077256;2212558;1028685;0;0;542007808;260220160;0.04;0.01;0.11;2117218;1016485;12534812;4065940;2216008;1025437;0;0;
1553765266;2195115956;100352;1590784;0.00;0.00;0.00;392;6214;26424;24856;101;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;101;33;0;0;100352;1590784;0.00;0.00;0.00;392;6214;26424;24856;101;33;0;0;100352;1591552;0.00;0.00;0.00;392;6217;26436;24868;101;33;0;0;100352;1592064;0.00;0.00;0.00;392;6219;26444;24876;101;33;0;0;551793152;262273024;0.04;0.01;0.11;2155442;1024504;12719784;4098016;2256151;1033197;0;0;550730240;263547392;0.05;0.01;0.10;2151290;1029482;12723088;4117928;2253988;1037665;0;0;552209408;262711808;0.04;0.01;0.10;2157068;1026218;12733144;4104872;2256244;1034286;0;0;540891392;260993792;0.05;0.01;0.10;2112857;1019507;12529456;4078028;2213097;1027363;0;0;541128960;261567232;0.05;0.01;0.11;2113785;1021747;12542128;4086988;2215330;1029965;0;0;540775424;260654336;0.04;0.01;0.10;2112404;1018181;12522340;4072724;2211674;1025703;0;0;
1553765267;2195123378;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;101;33;0;0;100352;1591808;0.00;0.00;0.00;392;6218;26440;24872;101;33;0;0;100352;1592320;0.00;0.00;0.00;392;6220;26448;24880;101;33;0;0;100096;1592320;0.00;0.00;0.00;391;6220;26444;24880;101;33;0;0;100352;1592320;0.00;0.00;0.00;392;6220;26448;24880;101;33;0;0;100352;1592064;0.00;0.00;0.00;392;6219;26444;24876;101;33;0;0;550920960;261337088;0.04;0.01;0.11;2152035;1020848;12691532;4083392;2252865;1030558;0;0;551708416;263263488;0.05;0.01;0.11;2155111;1028373;12733936;4113492;2257924;1038160;0;0;550677760;261574656;0.04;0.01;0.11;2151085;1021776;12691444;4087104;2251679;1031211;0;0;539586816;260047104;0.05;0.01;0.11;2107761;1015809;12494280;4063236;2211441;1025533;0;0;539439872;260519168;0.05;0.01;0.11;2107187;1017653;12499360;4070612;2210686;1028122;0;0;538510592;258909952;0.05;0.01;0.11;2103557;1011367;12459696;4045468;2204446;1020890;0;0;
1553765268;2195115148;100864;1591296;0.00;0.00;0.00;394;6216;26440;24864;101;33;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;101;33;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;101;33;0;0;100352;1590272;0.00;0.00;0.00;392;6212;26416;24848;101;33;0;0;100096;1589504;0.00;0.00;0.00;391;6209;26400;24836;101;33;0;0;100096;1589504;0.00;0.00;0.00;391;6209;26400;24836;101;33;0;0;550178048;260977408;0.05;0.01;0.11;2149133;1019443;12674304;4077772;2252515;1028928;0;0;550587392;262180352;0.05;0.01;0.11;2150732;1024142;12699496;4096568;2252500;1033346;0;0;550409216;261127936;0.04;0.01;0.11;2150036;1020031;12680268;4080124;2250716;1029228;0;0;541832192;260809216;0.05;0.01;0.11;2116532;1018786;12541272;4075144;2218774;1028069;0;0;540431360;260478720;0.05;0.01;0.11;2111060;1017495;12514220;4069980;2214298;1027100;0;0;542969344;260452352;0.05;0.01;0.11;2120974;1017392;12553464;4069568;2221774;1026659;0;0;
1553765269;2195116250;101376;1592064;0.00;0.00;0.00;396;6219;26460;24876;101;33;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;101;33;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;101;33;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;101;33;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;101;33;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;101;33;0;0;550401024;261005824;0.04;0.01;0.10;2150004;1019554;12678232;4078216;2249609;1027424;0;0;550734336;262368768;0.04;0.01;0.10;2151306;1024878;12704736;4099512;2251843;1032084;0;0;551297536;261554944;0.04;0.01;0.10;2153506;1021699;12700820;4086796;2251688;1029469;0;0;540355072;260260864;0.05;0.01;0.11;2110762;1016644;12509624;4066576;2211235;1024269;0;0;541305088;261290496;0.05;0.01;0.10;2114473;1020666;12540556;4082664;2215457;1028238;0;0;540500224;259238656;0.04;0.01;0.11;2111329;1012651;12495920;4050604;2209747;1020385;0;0;
1553765270;2195126240;100352;1590784;0.00;0.00;0.00;392;6214;26424;24856;101;33;0;0;99840;1590784;0.00;0.00;0.00;390;6214;26416;24856;101;33;0;0;100352;1590784;0.00;0.00;0.00;392;6214;26424;24856;101;33;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;101;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;549701888;260887552;0.04;0.01;0.10;2147273;1019092;12665460;4076368;2246245;1025721;0;0;551444224;263163136;0.04;0.01;0.10;2154079;1027981;12728240;4111924;2254667;1034537;0;0;550203904;261370624;0.04;0.01;0.10;2149234;1020979;12680852;4083916;2246894;1027299;0;0;541218304;260642048;0.05;0.01;0.10;2114134;1018133;12529068;4072532;2214284;1025631;0;0;541703936;261410816;0.04;0.01;0.10;2116031;1021136;12548668;4084544;2215565;1028213;0;0;541902080;260436224;0.04;0.01;0.10;2116805;1017329;12536536;4069316;2214630;1023485;0;0;
1553765271;2195152906;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100352;1590784;0.00;0.00;0.00;392;6214;26424;24856;101;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100352;1591552;0.00;0.00;0.00;392;6217;26436;24868;101;33;0;0;100352;1591552;0.00;0.00;0.00;392;6217;26436;24868;101;33;0;0;100352;1591552;0.00;0.00;0.00;392;6217;26436;24868;101;33;0;0;552402176;263002624;0.04;0.00;0.10;2157821;1027354;12740700;4109416;2251194;1030220;0;0;552480256;263913472;0.04;0.00;0.10;2158126;1030912;12756152;4123648;2253488;1034823;0;0;552111360;263063040;0.04;0.00;0.10;2156685;1027590;12737100;4110360;2249557;1029829;0;0;542744064;261984256;0.04;0.00;0.10;2120094;1023376;12573880;4093504;2215320;1027061;0;0;542034688;261778688;0.04;0.00;0.10;2117323;1022573;12559584;4090292;2212966;1027022;0;0;543820288;261132288;0.04;0.00;0.10;2124298;1020048;12577384;4080192;2216134;1023501;0;0;
