# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Thu Mar 28 05:29:18 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1553765359;2195112294;100608;1579264;0.00;0.00;0.00;393;6169;26248;24676;102;33;0;0;99584;1579520;0.00;0.00;0.00;389;6170;26236;24680;101;33;0;0;99840;1582848;0.00;0.00;0.00;390;6183;26292;24732;101;33;0;0;99584;1583360;0.00;0.00;0.00;389;6185;26296;24740;101;33;0;0;99840;1583616;0.00;0.00;0.00;390;6186;26304;24744;101;33;0;0;99840;1583872;0.00;0.00;0.00;390;6187;26308;24748;101;33;0;0;304500992;3565312;0.42;0.00;0.00;1189457;13927;4813536;55708;2046214;11283;0;0;302004992;3521024;0.42;0.00;0.00;1179707;13754;4773844;55016;2018576;11164;0;0;302039296;3509760;0.42;0.00;0.00;1179841;13710;4774204;54840;2033971;11025;0;0;302988544;3441920;0.42;0.00;0.00;1183549;13445;4787976;53780;2029230;10812;0;0;304047872;3420672;0.42;0.00;0.00;1187687;13362;4804196;53448;2035811;10698;0;0;304219648;3408384;0.42;0.00;0.00;1188358;13314;4806688;53256;2033152;10737;0;0;
1553765360;2195114468;100864;1591040;0.00;0.00;0.00;394;6215;26436;24860;101;33;0;0;100096;1590272;0.00;0.00;0.00;391;6212;26412;24848;101;33;0;0;100096;1589760;0.00;0.00;0.00;391;6210;26404;24840;101;33;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;101;33;0;0;100096;1590272;0.00;0.00;0.00;391;6212;26412;24848;101;33;0;0;100096;1590272;0.00;0.00;0.00;391;6212;26412;24848;101;33;0;0;286470144;2623744;0.41;0.00;0.00;1119024;10249;4517092;40996;1910839;7306;0;0;286571264;2619136;0.42;0.00;0.00;1119419;10231;4518600;40924;1913717;7260;0;0;283551744;2607360;0.42;0.00;0.00;1107624;10185;4471236;40740;1907380;7241;0;0;287660032;2609152;0.41;0.00;0.00;1123672;10192;4535456;40768;1915961;7152;0;0;286971136;2592256;0.42;0.00;0.00;1120981;10126;4524428;40504;1924949;7122;0;0;285108736;2599936;0.41;0.00;0.00;1113706;10156;4495448;40624;1898943;7216;0;0;
1553765361;2195120180;100352;1591296;0.00;0.00;0.00;392;6216;26432;24864;101;33;0;0;100096;1591808;0.00;0.00;0.00;391;6218;26436;24872;101;33;0;0;100096;1592576;0.00;0.00;0.00;391;6221;26448;24884;101;33;0;0;100352;1592832;0.00;0.00;0.00;392;6222;26456;24888;101;33;0;0;100352;1592320;0.00;0.00;0.00;392;6220;26448;24880;101;33;0;0;100352;1591808;0.00;0.00;0.00;392;6218;26440;24872;101;33;0;0;286035712;2410752;0.42;0.00;0.00;1117327;9417;4506976;37668;1914792;5695;0;0;285865472;2409728;0.42;0.00;0.00;1116662;9413;4504300;37652;1913104;5761;0;0;285893632;2404864;0.42;0.00;0.00;1116772;9394;4504664;37576;1921404;5625;0;0;286851072;2419712;0.42;0.00;0.00;1120512;9452;4519856;37808;1925706;5612;0;0;286403328;2404096;0.41;0.00;0.00;1118763;9391;4512616;37564;1911315;5578;0;0;285992704;2415104;0.42;0.00;0.00;1117159;9434;4506372;37736;1917733;5693;0;0;
1553765362;2195125998;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100352;1590784;0.00;0.00;0.00;392;6214;26424;24856;101;33;0;0;100352;1590528;0.00;0.00;0.00;392;6213;26420;24852;101;33;0;0;100352;1590784;0.00;0.00;0.00;392;6214;26424;24856;101;33;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;101;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;284617984;2371584;0.41;0.00;0.00;1111789;9264;4484212;37056;1893981;5341;0;0;285463296;2308864;0.41;0.00;0.00;1115091;9019;4496440;36076;1904062;5167;0;0;285686784;2325504;0.42;0.00;0.00;1115964;9084;4500192;36336;1908145;5256;0;0;285697536;2315776;0.42;0.00;0.00;1116006;9046;4500208;36184;1912697;5097;0;0;286828032;2337024;0.41;0.00;0.00;1120422;9129;4518204;36516;1904240;5237;0;0;282750976;2312960;0.41;0.00;0.00;1104496;9035;4454124;36140;1886457;5182;0;0;
1553765363;2195123998;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;101;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100096;1590272;0.00;0.00;0.00;391;6212;26412;24848;101;33;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;101;33;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;101;33;0;0;285010688;2224384;0.41;0.00;0.00;1113323;8689;4488048;34756;1901024;4170;0;0;283682816;2219776;0.42;0.00;0.00;1108136;8671;4467228;34684;1894791;4149;0;0;285291776;2216960;0.42;0.00;0.00;1114421;8660;4492324;34640;1907688;4097;0;0;285579520;2198272;0.41;0.00;0.00;1115545;8587;4496528;34348;1904804;3904;0;0;286586880;2199552;0.41;0.00;0.00;1119480;8592;4512288;34368;1906087;3937;0;0;282407424;2204160;0.41;0.00;0.00;1103154;8610;4447056;34440;1883941;4010;0;0;
1553765364;2195120950;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100352;1590784;0.00;0.00;0.00;392;6214;26424;24856;101;33;0;0;100352;1590528;0.00;0.00;0.00;392;6213;26420;24852;101;33;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;101;33;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;101;33;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;101;33;0;0;281401856;2204672;0.41;0.00;0.00;1099226;8612;4431352;34448;1876153;4255;0;0;279635200;2200320;0.42;0.00;0.00;1092325;8595;4403680;34380;1876977;4307;0;0;280909312;2200064;0.42;0.00;0.00;1097302;8594;4423584;34376;1887520;4297;0;0;279626496;2209536;0.42;0.00;0.00;1092291;8631;4403688;34524;1876403;4345;0;0;281508096;2191872;0.41;0.00;0.00;1099641;8562;4432812;34248;1875399;4305;0;0;279517184;2182912;0.42;0.00;0.00;1091864;8527;4401564;34108;1872153;4375;0;0;
1553765365;2195115868;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100352;1590784;0.00;0.00;0.00;392;6214;26424;24856;101;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100096;1591552;0.00;0.00;0.00;391;6217;26432;24868;101;33;0;0;274377728;2385664;0.42;0.00;0.00;1071788;9319;4324428;37276;1848928;6378;0;0;274181888;2353408;0.42;0.00;0.00;1071023;9193;4320864;36772;1860049;6307;0;0;274840064;2352384;0.42;0.00;0.00;1073594;9189;4331132;36756;1860268;6314;0;0;273689344;2373888;0.43;0.00;0.00;1069099;9273;4313488;37092;1859867;6389;0;0;276113920;2364928;0.42;0.00;0.00;1078570;9238;4351232;36952;1854779;6303;0;0;271770112;2361856;0.42;0.00;0.00;1061602;9226;4283312;36904;1835880;6350;0;0;
1553765366;2195124744;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;101;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100096;1591552;0.00;0.00;0.00;391;6217;26432;24868;101;33;0;0;100096;1591296;0.00;0.00;0.00;391;6216;26428;24864;101;33;0;0;100352;1591552;0.00;0.00;0.00;392;6217;26436;24868;101;33;0;0;272049920;2412032;0.42;0.00;0.00;1062695;9422;4288468;37688;1842471;6652;0;0;271005440;2411008;0.43;0.00;0.00;1058615;9418;4272132;37672;1861405;6645;0;0;273342720;2402304;0.43;0.00;0.00;1067745;9384;4308516;37536;1869839;6629;0;0;273094400;2407936;0.43;0.00;0.00;1066775;9406;4304724;37624;1863783;6609;0;0;274585088;2413568;0.43;0.00;0.00;1072598;9428;4328104;37712;1865688;6655;0;0;270131200;2396160;0.43;0.00;0.00;1055200;9360;4258240;37440;1843158;6662;0;0;
1553765367;2195113148;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100352;1590784;0.00;0.00;0.00;392;6214;26424;24856;101;33;0;0;100352;1591296;0.00;0.00;0.00;392;6216;26432;24864;101;33;0;0;100352;1591552;0.00;0.00;0.00;392;6217;26436;24868;101;33;0;0;100352;1591552;0.00;0.00;0.00;392;6217;26436;24868;101;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;265278720;2360832;0.43;0.00;0.00;1036245;9222;4181868;36888;1810501;6324;0;0;264564736;2376704;0.43;0.00;0.00;1033456;9284;4170960;37136;1826361;6477;0;0;267381760;2380544;0.43;0.00;0.00;1044460;9299;4215036;37196;1839401;6508;0;0;265736960;2347264;0.43;0.00;0.00;1038035;9169;4188816;36676;1822102;6459;0;0;267267328;2374144;0.43;0.00;0.00;1044013;9274;4213148;37096;1832496;6484;0;0;263727360;2349824;0.43;0.00;0.00;1030185;9179;4157456;36716;1808025;6380;0;0;
1553765368;2195122010;101120;1591296;0.00;0.00;0.00;395;6216;26444;24864;101;33;0;0;100096;1591552;0.00;0.00;0.00;391;6217;26432;24868;101;33;0;0;100096;1591296;0.00;0.00;0.00;391;6216;26428;24864;101;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100352;1590784;0.00;0.00;0.00;392;6214;26424;24856;101;33;0;0;267772928;2361344;0.43;0.00;0.00;1045988;9224;4220848;36896;1824942;6356;0;0;267429120;2349568;0.43;0.00;0.00;1044645;9178;4215292;36712;1840408;6343;0;0;268237824;2358784;0.43;0.00;0.00;1047804;9214;4228072;36856;1840343;6375;0;0;267891968;2351616;0.43;0.00;0.00;1046453;9186;4222556;36744;1832999;6331;0;0;266465024;2351104;0.43;0.00;0.00;1040879;9184;4200252;36736;1837966;6402;0;0;265472256;2349312;0.43;0.00;0.00;1037001;9177;4184712;36708;1823553;6367;0;0;
