# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sun Jun  9 21:38:24 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1560130705;2195118876;1071743744;1977539328;0.67;0.04;0.05;4186499;7724763;47645048;30899052;12761425;8062997;0;0;100096;1580288;0.00;0.00;0.00;391;6173;26256;24692;134;33;0;0;99840;1583616;0.00;0.00;0.00;390;6186;26304;24744;134;33;0;0;99840;1584384;0.00;0.00;0.00;390;6189;26316;24756;134;33;0;0;99584;1583360;0.00;0.00;0.00;389;6185;26296;24740;134;33;0;0;99840;1582336;0.00;0.00;0.00;390;6181;26284;24724;134;33;0;0;99584;1582336;0.00;0.00;0.00;389;6181;26280;24724;101;33;0;0;99584;1581824;0.00;0.00;0.00;389;6179;26272;24716;101;33;0;0;100352;1585152;0.00;0.00;0.00;392;6192;26336;24768;101;33;0;0;99840;1583360;0.00;0.00;0.00;390;6185;26300;24740;101;33;0;0;99840;1584896;0.00;0.00;0.00;390;6191;26324;24764;101;33;0;0;100352;1581568;0.00;0.00;0.00;392;6178;26280;24712;101;33;0;0;
1560130706;2195141842;1120540416;1973640704;0.66;0.04;0.05;4377111;7709534;48346580;30838136;12693442;8051080;0;0;101376;1590528;0.00;0.00;0.00;396;6213;26436;24852;134;33;0;0;100096;1588736;0.00;0.00;0.00;391;6206;26388;24824;134;33;0;0;99840;1588736;0.00;0.00;0.00;390;6206;26384;24824;134;33;0;0;100352;1588480;0.00;0.00;0.00;392;6205;26388;24820;134;33;0;0;100096;1589248;0.00;0.00;0.00;391;6208;26396;24832;134;33;0;0;100608;1589504;0.00;0.00;0.00;393;6209;26408;24836;101;33;0;0;100096;1589760;0.00;0.00;0.00;391;6210;26404;24840;101;33;0;0;101120;1590016;0.00;0.00;0.00;395;6211;26424;24844;101;33;0;0;101376;1592576;0.00;0.00;0.00;396;6221;26468;24884;101;33;0;0;100096;1592832;0.00;0.00;0.00;391;6222;26452;24888;101;33;0;0;100352;1596416;0.00;0.00;0.00;392;6236;26512;24944;101;33;0;0;
1560130707;2195146074;1143435776;1960044032;0.65;0.04;0.05;4466546;7656422;48491872;30625688;12622356;7990019;0;0;102656;1592576;0.00;0.00;0.00;401;6221;26488;24884;134;33;0;0;99840;1587968;0.00;0.00;0.00;390;6203;26372;24812;134;33;0;0;100096;1587456;0.00;0.00;0.00;391;6201;26368;24804;134;33;0;0;99840;1585408;0.00;0.00;0.00;390;6193;26332;24772;134;33;0;0;99840;1584896;0.00;0.00;0.00;390;6191;26324;24764;134;33;0;0;99840;1584128;0.00;0.00;0.00;390;6188;26312;24752;101;33;0;0;99840;1584128;0.00;0.00;0.00;390;6188;26312;24752;101;33;0;0;100352;1584896;0.00;0.00;0.00;392;6191;26332;24764;101;33;0;0;99840;1584640;0.00;0.00;0.00;390;6190;26320;24760;101;33;0;0;100096;1584128;0.00;0.00;0.00;391;6188;26316;24752;101;33;0;0;101376;1585152;0.00;0.00;0.00;396;6192;26352;24768;101;33;0;0;
1560130708;2195207626;1154944512;1953896192;0.64;0.04;0.05;4511502;7632407;48575636;30529628;12578602;7968563;0;0;100608;1591552;0.00;0.00;0.00;393;6217;26440;24868;134;33;0;0;100608;1594368;0.00;0.00;0.00;393;6228;26484;24912;135;33;0;0;100608;1595136;0.00;0.00;0.00;393;6231;26496;24924;134;33;0;0;100608;1597440;0.00;0.00;0.00;393;6240;26532;24960;134;33;0;0;100608;1597952;0.00;0.00;0.00;393;6242;26540;24968;134;33;0;0;101120;1596416;0.00;0.00;0.00;395;6236;26524;24944;101;33;0;0;100352;1594368;0.00;0.00;0.00;392;6228;26480;24912;101;33;0;0;100608;1591040;0.00;0.00;0.00;393;6215;26432;24860;101;33;0;0;100864;1591040;0.00;0.00;0.00;394;6215;26436;24860;101;33;0;0;100096;1587456;0.00;0.00;0.00;391;6201;26368;24804;101;33;0;0;99840;1586176;0.00;0.00;0.00;390;6196;26344;24784;101;33;0;0;
1560130709;2195193124;1164235520;1949885952;0.64;0.04;0.05;4547795;7616742;48658148;30466968;12529679;7950447;0;0;101888;1592320;0.00;0.00;0.00;398;6220;26472;24880;134;33;0;0;100096;1591552;0.00;0.00;0.00;391;6217;26432;24868;134;33;0;0;100352;1591296;0.00;0.00;0.00;392;6216;26432;24864;134;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;134;33;0;0;100096;1590272;0.00;0.00;0.00;391;6212;26412;24848;134;33;0;0;100608;1592576;0.00;0.00;0.00;393;6221;26456;24884;101;33;0;0;101120;1593344;0.00;0.00;0.00;395;6224;26476;24896;101;33;0;0;101120;1596416;0.00;0.00;0.00;395;6236;26524;24944;101;33;0;0;101376;1596672;0.00;0.00;0.00;396;6237;26532;24948;101;33;0;0;100608;1600256;0.00;0.00;0.00;393;6251;26576;25004;101;33;0;0;101632;1602304;0.00;0.00;0.00;397;6259;26624;25036;101;33;0;0;
1560130710;2195114450;1172637440;1944224256;0.63;0.04;0.06;4580615;7594626;48700964;30378504;12497997;7936260;0;0;101376;1591808;0.00;0.00;0.00;396;6218;26456;24872;134;33;0;0;100352;1590528;0.00;0.00;0.00;392;6213;26420;24852;134;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;134;33;0;0;100352;1591296;0.00;0.00;0.00;392;6216;26432;24864;134;33;0;0;100096;1591296;0.00;0.00;0.00;391;6216;26428;24864;134;33;0;0;102144;1593088;0.00;0.00;0.00;399;6223;26488;24892;101;33;0;0;101632;1593856;0.00;0.00;0.00;397;6226;26492;24904;101;33;0;0;101632;1591808;0.00;0.00;0.00;397;6218;26460;24872;101;33;0;0;101632;1588992;0.00;0.00;0.00;397;6207;26416;24828;101;33;0;0;100608;1586688;0.00;0.00;0.00;393;6198;26364;24792;101;33;0;0;99840;1583360;0.00;0.00;0.00;390;6185;26300;24740;101;33;0;0;
1560130711;2195117792;1183389952;1942031616;0.63;0.05;0.06;4622617;7586061;48834712;30344244;12500112;7949310;0;0;101888;1592576;0.00;0.00;0.00;398;6221;26476;24884;134;33;0;0;100096;1592064;0.00;0.00;0.00;391;6219;26440;24876;134;33;0;0;100352;1591296;0.00;0.00;0.00;392;6216;26432;24864;134;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;134;33;0;0;100608;1591552;0.00;0.00;0.00;393;6217;26440;24868;134;33;0;0;100096;1591808;0.00;0.00;0.00;391;6218;26436;24872;101;33;0;0;101376;1593088;0.00;0.00;0.00;396;6223;26476;24892;101;33;0;0;100352;1593856;0.00;0.00;0.00;392;6226;26472;24904;101;33;0;0;100608;1597184;0.00;0.00;0.00;393;6239;26528;24956;101;33;0;0;100608;1597440;0.00;0.00;0.00;393;6240;26532;24960;101;33;0;0;102144;1598720;0.00;0.00;0.00;399;6245;26576;24980;101;33;0;0;
1560130712;2195115074;1187420928;1940130816;0.63;0.05;0.06;4638363;7578636;48867996;30314544;12460378;7953310;0;0;100096;1588736;0.00;0.00;0.00;391;6206;26388;24824;134;33;0;0;100096;1588736;0.00;0.00;0.00;391;6206;26388;24824;134;33;0;0;100096;1588992;0.00;0.00;0.00;391;6207;26392;24828;134;33;0;0;99840;1585408;0.00;0.00;0.00;390;6193;26332;24772;134;33;0;0;99584;1579520;0.00;0.00;0.00;389;6170;26236;24680;134;33;0;0;103424;1581056;0.00;0.00;0.00;404;6176;26320;24704;101;33;0;0;99328;1573632;0.00;0.00;0.00;388;6147;26140;24588;101;33;0;0;99072;1572608;0.00;0.00;0.00;387;6143;26120;24572;101;33;0;0;98816;1570304;0.00;0.00;0.00;386;6134;26080;24536;101;33;0;0;99072;1570816;0.00;0.00;0.00;387;6136;26092;24544;101;33;0;0;99840;1572608;0.00;0.00;0.00;390;6143;26132;24572;101;33;0;0;
1560130713;2195168608;1198540544;1938320384;0.63;0.05;0.06;4681799;7571564;49013452;30286256;12490691;7956849;0;0;102912;1592576;0.00;0.00;0.00;402;6221;26492;24884;134;33;0;0;100096;1589760;0.00;0.00;0.00;391;6210;26404;24840;134;33;0;0;100096;1589248;0.00;0.00;0.00;391;6208;26396;24832;134;33;0;0;100352;1593344;0.00;0.00;0.00;392;6224;26464;24896;135;33;0;0;100608;1599744;0.00;0.00;0.00;393;6249;26568;24996;135;33;0;0;102144;1598464;0.00;0.00;0.00;399;6244;26572;24976;101;33;0;0;102912;1601792;0.00;0.00;0.00;402;6257;26636;25028;102;33;0;0;100608;1599488;0.00;0.00;0.00;393;6248;26564;24992;101;33;0;0;101632;1601792;0.00;0.00;0.00;397;6257;26616;25028;101;33;0;0;100864;1601792;0.00;0.00;0.00;394;6257;26604;25028;101;33;0;0;102144;1603584;0.00;0.00;0.00;399;6264;26652;25056;101;33;0;0;
1560130714;2195133178;1203550720;1935503360;0.62;0.05;0.06;4701370;7560560;49047720;30242240;12469409;7950936;0;0;101120;1594368;0.00;0.00;0.00;395;6228;26492;24912;134;33;0;0;100608;1594880;0.00;0.00;0.00;393;6230;26492;24920;134;33;0;0;100352;1595904;0.00;0.00;0.00;392;6234;26504;24936;134;33;0;0;100608;1595136;0.00;0.00;0.00;393;6231;26496;24924;134;33;0;0;100352;1594624;0.00;0.00;0.00;392;6229;26484;24916;134;33;0;0;100608;1597184;0.00;0.00;0.00;393;6239;26528;24956;101;33;0;0;100864;1598464;0.00;0.00;0.00;394;6244;26552;24976;101;33;0;0;101632;1600000;0.00;0.00;0.00;397;6250;26588;25000;101;33;0;0;101632;1600512;0.00;0.00;0.00;397;6252;26596;25008;101;33;0;0;100608;1599232;0.00;0.00;0.00;393;6247;26560;24988;101;33;0;0;102400;1600256;0.00;0.00;0.00;400;6251;26604;25004;101;33;0;0;
