# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Thu Mar 28 06:45:52 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1553769953;2195117944;99584;1579008;0.00;0.00;0.00;389;6168;26228;24672;102;33;0;0;99328;1580544;0.00;0.00;0.00;388;6174;26248;24696;101;33;0;0;99840;1585152;0.00;0.00;0.00;390;6192;26328;24768;101;33;0;0;99840;1586944;0.00;0.00;0.00;390;6199;26356;24796;101;33;0;0;99840;1587968;0.00;0.00;0.00;390;6203;26372;24812;101;33;0;0;100096;1587968;0.00;0.00;0.00;391;6203;26376;24812;101;33;0;0;102400;1656320;0.00;0.00;0.00;400;6470;27480;25880;134;302;0;0;102656;1657344;0.00;0.00;0.00;401;6474;27500;25896;155;317;0;0;100864;1643264;0.00;0.00;0.00;394;6419;27252;25676;137;256;0;0;102656;1643776;0.00;0.00;0.00;401;6421;27288;25684;142;265;0;0;100864;1631488;0.00;0.00;0.00;394;6373;27068;25492;134;206;0;0;100352;1635072;0.00;0.00;0.00;392;6387;27116;25548;134;225;0;0;
1553769954;2195119886;100864;1591552;0.00;0.00;0.00;394;6217;26444;24868;101;33;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;101;33;0;0;100096;1591552;0.00;0.00;0.00;391;6217;26432;24868;101;33;0;0;100352;1591808;0.00;0.00;0.00;392;6218;26440;24872;101;33;0;0;100352;1591808;0.00;0.00;0.00;392;6218;26440;24872;101;33;0;0;100352;1591808;0.00;0.00;0.00;392;6218;26440;24872;101;33;0;0;101632;1598208;0.00;0.00;0.00;397;6243;26560;24972;134;56;0;0;100864;1597184;0.00;0.00;0.00;394;6239;26532;24956;134;58;0;0;100864;1594368;0.00;0.00;0.00;394;6228;26488;24912;139;49;0;0;102144;1600256;0.00;0.00;0.00;399;6251;26600;25004;134;69;0;0;101120;1600768;0.00;0.00;0.00;395;6253;26592;25012;134;73;0;0;100352;1599488;0.00;0.00;0.00;392;6248;26560;24992;134;66;0;0;
1553769955;2195116040;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;101;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;101;33;0;0;100352;1591296;0.00;0.00;0.00;392;6216;26432;24864;101;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100096;1590272;0.00;0.00;0.00;391;6212;26412;24848;101;33;0;0;100096;1592832;0.00;0.00;0.00;391;6222;26452;24888;134;42;0;0;101120;1592576;0.00;0.00;0.00;395;6221;26464;24884;134;38;0;0;100864;1592576;0.00;0.00;0.00;394;6221;26460;24884;138;39;0;0;102144;1595904;0.00;0.00;0.00;399;6234;26532;24936;134;48;0;0;100096;1595392;0.00;0.00;0.00;391;6232;26492;24928;134;48;0;0;100352;1594880;0.00;0.00;0.00;392;6230;26488;24920;134;46;0;0;
1553769956;2195113336;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;101376;1591808;0.00;0.00;0.00;396;6218;26456;24872;101;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;101;33;0;0;100352;1590528;0.00;0.00;0.00;392;6213;26420;24852;101;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100864;1592320;0.00;0.00;0.00;394;6220;26456;24880;134;37;0;0;100608;1592320;0.00;0.00;0.00;393;6220;26452;24880;134;36;0;0;101120;1592832;0.00;0.00;0.00;395;6222;26468;24888;140;36;0;0;100096;1594368;0.00;0.00;0.00;391;6228;26476;24912;134;41;0;0;102400;1594880;0.00;0.00;0.00;400;6230;26520;24920;134;38;0;0;100096;1593344;0.00;0.00;0.00;391;6224;26460;24896;134;37;0;0;
1553769957;2195128716;100864;1591552;0.00;0.00;0.00;394;6217;26444;24868;101;33;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;101;33;0;0;100352;1590528;0.00;0.00;0.00;392;6213;26420;24852;101;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100352;1590528;0.00;0.00;0.00;392;6213;26420;24852;101;33;0;0;101632;1592576;0.00;0.00;0.00;397;6221;26472;24884;134;37;0;0;101632;1591808;0.00;0.00;0.00;397;6218;26460;24872;134;35;0;0;100864;1591552;0.00;0.00;0.00;394;6217;26444;24868;140;35;0;0;100352;1591808;0.00;0.00;0.00;392;6218;26440;24872;134;38;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;134;37;0;0;100864;1591552;0.00;0.00;0.00;394;6217;26444;24868;134;37;0;0;
1553769958;2195134340;101376;1591296;0.00;0.00;0.00;396;6216;26448;24864;101;33;0;0;101120;1591552;0.00;0.00;0.00;395;6217;26448;24868;101;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;101;33;0;0;100608;1591552;0.00;0.00;0.00;393;6217;26440;24868;101;33;0;0;100096;1592320;0.00;0.00;0.00;391;6220;26444;24880;101;33;0;0;100608;1592576;0.00;0.00;0.00;393;6221;26456;24884;134;36;0;0;100864;1592832;0.00;0.00;0.00;394;6222;26464;24888;134;36;0;0;101120;1591040;0.00;0.00;0.00;395;6215;26440;24860;139;35;0;0;100096;1591296;0.00;0.00;0.00;391;6216;26428;24864;134;37;0;0;101120;1591040;0.00;0.00;0.00;395;6215;26440;24860;134;33;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;134;35;0;0;
1553769959;2195124698;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100352;1591808;0.00;0.00;0.00;392;6218;26440;24872;101;33;0;0;100096;1591808;0.00;0.00;0.00;391;6218;26436;24872;101;33;0;0;100096;1591296;0.00;0.00;0.00;391;6216;26428;24864;101;33;0;0;100352;1590784;0.00;0.00;0.00;392;6214;26424;24856;101;33;0;0;102400;1591552;0.00;0.00;0.00;400;6217;26468;24868;134;34;0;0;100096;1590272;0.00;0.00;0.00;391;6212;26412;24848;134;34;0;0;102144;1591552;0.00;0.00;0.00;399;6217;26464;24868;140;34;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;134;35;0;0;101632;1591040;0.00;0.00;0.00;397;6215;26448;24860;134;33;0;0;101632;1591552;0.00;0.00;0.00;397;6217;26456;24868;134;34;0;0;
1553769960;2195118060;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;101;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;101;33;0;0;100352;1590272;0.00;0.00;0.00;392;6212;26416;24848;101;33;0;0;100096;1590272;0.00;0.00;0.00;391;6212;26412;24848;101;33;0;0;100096;1590272;0.00;0.00;0.00;391;6212;26412;24848;101;33;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;134;33;0;0;101120;1591296;0.00;0.00;0.00;395;6216;26444;24864;134;34;0;0;101632;1591040;0.00;0.00;0.00;397;6215;26448;24860;139;33;0;0;100864;1591040;0.00;0.00;0.00;394;6215;26436;24860;134;34;0;0;100352;1590784;0.00;0.00;0.00;392;6214;26424;24856;134;34;0;0;102400;1592320;0.00;0.00;0.00;400;6220;26480;24880;134;34;0;0;
1553769961;2195114314;100864;1591296;0.00;0.00;0.00;394;6216;26440;24864;101;33;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;101;33;0;0;100096;1591296;0.00;0.00;0.00;391;6216;26428;24864;101;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100352;1590528;0.00;0.00;0.00;392;6213;26420;24852;101;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;134;35;0;0;101376;1591296;0.00;0.00;0.00;396;6216;26448;24864;134;33;0;0;100864;1591552;0.00;0.00;0.00;394;6217;26444;24868;139;34;0;0;101120;1592832;0.00;0.00;0.00;395;6222;26468;24888;134;33;0;0;100864;1592832;0.00;0.00;0.00;394;6222;26464;24888;134;33;0;0;101120;1592320;0.00;0.00;0.00;395;6220;26460;24880;134;33;0;0;
1553769962;2195120268;101120;1591552;0.00;0.00;0.00;395;6217;26448;24868;101;33;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;101;33;0;0;100352;1590016;0.00;0.00;0.00;392;6211;26412;24844;101;33;0;0;100096;1589760;0.00;0.00;0.00;391;6210;26404;24840;101;33;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;101;33;0;0;100096;1589504;0.00;0.00;0.00;391;6209;26400;24836;101;33;0;0;101888;1592064;0.00;0.00;0.00;398;6219;26468;24876;134;38;0;0;103680;1592320;0.00;0.00;0.00;405;6220;26500;24880;134;37;0;0;100864;1591296;0.00;0.00;0.00;394;6216;26440;24864;139;40;0;0;100864;1590016;0.00;0.00;0.00;394;6211;26420;24844;134;33;0;0;100352;1589760;0.00;0.00;0.00;392;6210;26408;24840;134;35;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;134;34;0;0;
