# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Thu Mar 28 06:41:57 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1553769718;2195119540;99328;1577728;0.00;0.00;0.00;388;6163;26204;24652;102;33;0;0;99584;1579008;0.00;0.00;0.00;389;6168;26228;24672;101;33;0;0;99584;1581824;0.00;0.00;0.00;389;6179;26272;24716;101;33;0;0;99584;1582336;0.00;0.00;0.00;389;6181;26280;24724;101;33;0;0;99584;1582080;0.00;0.00;0.00;389;6180;26276;24720;101;33;0;0;99584;1581312;0.00;0.00;0.00;389;6177;26264;24708;101;33;0;0;554959616;926736128;0.70;0.28;0.30;2167811;3620063;23151496;14480252;7160018;5003455;0;0;554603264;925342208;0.70;0.28;0.30;2166419;3614618;23124148;14458472;7160394;4999153;0;0;555169280;926464768;0.70;0.28;0.30;2168630;3619003;23150532;14476012;7172951;5006135;0;0;554628864;934287616;0.70;0.27;0.29;2166519;3649561;23264320;14598244;7141876;5010639;0;0;554566144;940210688;0.70;0.27;0.29;2166274;3672698;23355888;14690792;7127450;5029457;0;0;554485504;941519872;0.70;0.27;0.29;2165959;3677812;23375084;14711248;7142113;5043708;0;0;
1553769719;2195116068;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;101;33;0;0;100096;1590272;0.00;0.00;0.00;391;6212;26412;24848;101;33;0;0;100352;1590016;0.00;0.00;0.00;392;6211;26412;24844;101;33;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;101;33;0;0;100352;1590528;0.00;0.00;0.00;392;6213;26420;24852;101;33;0;0;559001088;931053312;0.70;0.28;0.30;2183598;3636927;23282100;14547708;7197752;5025628;0;0;557499904;931931904;0.70;0.28;0.29;2177734;3640359;23272372;14561436;7145176;5021458;0;0;557623040;939627008;0.69;0.27;0.29;2178215;3670418;23394532;14681672;7132786;5048357;0;0;557406464;945612032;0.70;0.27;0.29;2177369;3693797;23484664;14775188;7153137;5060556;0;0;558394368;941096448;0.70;0.27;0.29;2181228;3676158;23429544;14704632;7162750;5040571;0;0;559256320;936665600;0.70;0.27;0.29;2184595;3658850;23373780;14635400;7172461;5020946;0;0;
1553769720;2195117970;101120;1591552;0.00;0.00;0.00;395;6217;26448;24868;101;33;0;0;100352;1591296;0.00;0.00;0.00;392;6216;26432;24864;101;33;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;101;33;0;0;100096;1591296;0.00;0.00;0.00;391;6216;26428;24864;101;33;0;0;100352;1591808;0.00;0.00;0.00;392;6218;26440;24872;101;33;0;0;100352;1592576;0.00;0.00;0.00;392;6221;26452;24884;101;33;0;0;557062400;938700544;0.69;0.27;0.29;2176025;3666799;23371296;14667196;7121643;5043563;0;0;557151232;937062912;0.70;0.27;0.29;2176372;3660402;23347096;14641608;7136422;5047664;0;0;557087488;931671552;0.70;0.28;0.30;2176123;3639342;23261860;14557368;7140001;5023681;0;0;557852416;933760512;0.70;0.27;0.29;2179111;3647502;23306452;14590008;7148964;5006252;0;0;557555456;933163520;0.70;0.27;0.29;2177951;3645170;23292484;14580680;7153356;5000716;0;0;557569024;932454144;0.70;0.27;0.29;2178004;3642399;23281612;14569596;7159821;5001433;0;0;
1553769721;2195125812;100864;1591296;0.00;0.00;0.00;394;6216;26440;24864;101;33;0;0;100096;1590272;0.00;0.00;0.00;391;6212;26412;24848;101;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;101;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100352;1590528;0.00;0.00;0.00;392;6213;26420;24852;101;33;0;0;558706432;931569664;0.69;0.28;0.30;2182447;3638944;23285564;14555776;7148561;5023096;0;0;558377728;927831040;0.69;0.28;0.30;2181163;3624340;23222012;14497360;7140549;5000643;0;0;559870464;929035008;0.70;0.28;0.30;2186994;3629043;23264148;14516172;7175215;5011636;0;0;559696640;933921792;0.70;0.27;0.29;2186315;3648132;23337788;14592528;7187232;5014479;0;0;560152064;937466112;0.69;0.27;0.29;2188094;3661977;23400284;14647908;7167050;5021635;0;0;559572480;941961472;0.69;0.27;0.29;2185830;3679537;23461468;14718148;7139389;5033988;0;0;
1553769722;2195115370;101376;1591552;0.00;0.00;0.00;396;6217;26452;24868;101;33;0;0;100096;1591552;0.00;0.00;0.00;391;6217;26432;24868;101;33;0;0;100352;1592064;0.00;0.00;0.00;392;6219;26444;24876;101;33;0;0;100352;1592064;0.00;0.00;0.00;392;6219;26444;24876;101;33;0;0;100352;1592064;0.00;0.00;0.00;392;6219;26444;24876;101;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;560581632;929239808;0.69;0.28;0.30;2189772;3629843;23278460;14519372;7172589;5006970;0;0;559699712;927138048;0.69;0.28;0.30;2186327;3621633;23231840;14486532;7159210;4998879;0;0;558719232;929327104;0.69;0.27;0.29;2182497;3630184;23250724;14520736;7122243;4999351;0;0;558445824;940683264;0.69;0.27;0.29;2181429;3674544;23423892;14698176;7106856;5020832;0;0;558564864;944320000;0.69;0.27;0.29;2181894;3688750;23482576;14755000;7118167;5042926;0;0;559882240;940896000;0.69;0.27;0.29;2187040;3675375;23449660;14701500;7129014;5027467;0;0;
1553769723;2195119874;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;101;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100096;1590272;0.00;0.00;0.00;391;6212;26412;24848;101;33;0;0;100096;1589504;0.00;0.00;0.00;391;6209;26400;24836;101;33;0;0;100096;1589760;0.00;0.00;0.00;391;6210;26404;24840;101;33;0;0;560049920;930790144;0.69;0.27;0.29;2187695;3635899;23294376;14543596;7112854;4993201;0;0;558580480;934402304;0.69;0.27;0.29;2181955;3650009;23327856;14600036;7071382;5001792;0;0;559266560;938510080;0.69;0.27;0.29;2184635;3666055;23402760;14664220;7099502;5029593;0;0;560695552;939855616;0.69;0.27;0.29;2190217;3671311;23446112;14685244;7116471;5015554;0;0;561712128;935677440;0.69;0.27;0.29;2194188;3654990;23396712;14619960;7129911;4995923;0;0;561340416;934023680;0.69;0.27;0.29;2192736;3648530;23365064;14594120;7133441;4990090;0;0;
1553769724;2195119576;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100352;1590272;0.00;0.00;0.00;392;6212;26416;24848;101;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;99840;1591296;0.00;0.00;0.00;390;6216;26424;24864;101;33;0;0;100352;1590784;0.00;0.00;0.00;392;6214;26424;24856;101;33;0;0;560802560;940830976;0.69;0.27;0.29;2190635;3675121;23463024;14700484;7120742;5042140;0;0;561012224;935339520;0.69;0.27;0.29;2191454;3653670;23380496;14614680;7120581;5020503;0;0;562614272;930475264;0.69;0.27;0.29;2197712;3634669;23329524;14538676;7133629;4999988;0;0;562966016;936210432;0.69;0.27;0.29;2199086;3657072;23424632;14628288;7154977;5001292;0;0;563013120;935414528;0.69;0.27;0.29;2199270;3653963;23412932;14615852;7158657;4999371;0;0;562612736;935160576;0.69;0.27;0.29;2197706;3652971;23402708;14611884;7146034;4996301;0;0;
1553769725;2195122324;100352;1590784;0.00;0.00;0.00;392;6214;26424;24856;101;33;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;101;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100352;1590784;0.00;0.00;0.00;392;6214;26424;24856;101;33;0;0;100608;1590528;0.00;0.00;0.00;393;6213;26424;24852;101;33;0;0;100096;1591552;0.00;0.00;0.00;391;6217;26432;24868;101;33;0;0;562695936;930692352;0.69;0.27;0.29;2198031;3635517;23334192;14542068;7136282;4998275;0;0;561319424;928330496;0.69;0.27;0.29;2192654;3626291;23275780;14505164;7135128;4989763;0;0;561491200;927348224;0.69;0.27;0.29;2193325;3622454;23263116;14489816;7141294;4988182;0;0;561300480;933694720;0.69;0.27;0.29;2192580;3647245;23359300;14588980;7134781;4991171;0;0;560331264;936377856;0.69;0.27;0.29;2188794;3657726;23386080;14630904;7096490;4992519;0;0;559972352;941381120;0.69;0.27;0.29;2187392;3677270;23458648;14709080;7077185;5008953;0;0;
1553769726;2195124336;101376;1592064;0.00;0.00;0.00;396;6219;26460;24876;101;33;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;101;33;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;101;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100096;1591808;0.00;0.00;0.00;391;6218;26436;24872;101;33;0;0;100352;1591552;0.00;0.00;0.00;392;6217;26436;24868;101;33;0;0;561718528;928655104;0.69;0.27;0.29;2194213;3627559;23287088;14510236;7150939;4992943;0;0;560375040;927589632;0.69;0.27;0.29;2188965;3623397;23249448;14493588;7118909;4984857;0;0;559997440;930561024;0.69;0.27;0.29;2187490;3635004;23289976;14540016;7088735;4990286;0;0;559897600;942088704;0.69;0.27;0.29;2187100;3680034;23468536;14720136;7086598;5017463;0;0;560578048;942658048;0.69;0.27;0.29;2189758;3682258;23488064;14729032;7111779;5027249;0;0;562048256;938062336;0.69;0.27;0.29;2195501;3664306;23439228;14657224;7119310;5008774;0;0;
1553769727;2195118778;101120;1591552;0.00;0.00;0.00;395;6217;26448;24868;101;33;0;0;100096;1591552;0.00;0.00;0.00;391;6217;26432;24868;101;33;0;0;100352;1591808;0.00;0.00;0.00;392;6218;26440;24872;101;33;0;0;100352;1592064;0.00;0.00;0.00;392;6219;26444;24876;101;33;0;0;100352;1592064;0.00;0.00;0.00;392;6219;26444;24876;101;33;0;0;100096;1591808;0.00;0.00;0.00;391;6218;26436;24872;101;33;0;0;559494656;931731456;0.69;0.27;0.29;2185526;3639576;23300408;14558304;7095161;4994831;0;0;558977280;936201216;0.69;0.27;0.29;2183505;3657036;23362164;14628144;7076862;5011520;0;0;559175168;934771968;0.69;0.27;0.29;2184278;3651453;23342924;14605812;7099131;5018568;0;0;560761088;936841728;0.69;0.27;0.29;2190473;3659538;23400044;14638152;7116625;5002022;0;0;561375488;934385920;0.69;0.27;0.29;2192873;3649945;23371272;14599780;7122959;4989411;0;0;561976576;933602304;0.69;0.27;0.29;2195221;3646884;23368420;14587536;7136455;4986377;0;0;
