# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Thu Mar 28 06:49:43 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1553770184;2195114056;99328;1576448;0.00;0.00;0.00;388;6158;26184;24632;102;33;0;0;100096;1577472;0.00;0.00;0.00;391;6162;26212;24648;101;33;0;0;99584;1578496;0.00;0.00;0.00;389;6166;26220;24664;101;33;0;0;99328;1577984;0.00;0.00;0.00;388;6164;26208;24656;101;33;0;0;99328;1577216;0.00;0.00;0.00;388;6161;26196;24644;101;33;0;0;99584;1577472;0.00;0.00;0.00;389;6162;26204;24648;101;33;0;0;131205120;324773632;0.74;0.36;0.41;512520;1268647;7124668;5074588;1975155;1972530;0;0;131686400;325400832;0.74;0.36;0.41;514400;1271097;7141988;5084388;1976500;1973563;0;0;131517952;325119488;0.74;0.36;0.41;513742;1269998;7134960;5079992;1977652;1974792;0;0;131277568;323983360;0.74;0.36;0.41;512803;1265560;7113452;5062240;1972849;1970094;0;0;131319808;323763456;0.74;0.36;0.41;512968;1264701;7110676;5058804;1970592;1967891;0;0;131450880;323888896;0.74;0.36;0.41;513480;1265191;7114684;5060764;1970963;1968155;0;0;
1553770185;2195117834;100352;1590784;0.00;0.00;0.00;392;6214;26424;24856;101;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100096;1591296;0.00;0.00;0.00;391;6216;26428;24864;101;33;0;0;100352;1591552;0.00;0.00;0.00;392;6217;26436;24868;101;33;0;0;100096;1592064;0.00;0.00;0.00;391;6219;26440;24876;101;33;0;0;100352;1592576;0.00;0.00;0.00;392;6221;26452;24884;101;33;0;0;132356608;327707648;0.74;0.36;0.41;517018;1280108;7188504;5120432;1989075;1987447;0;0;132364800;327604224;0.74;0.36;0.41;517050;1279704;7187016;5118816;1988464;1986911;0;0;132494336;327593984;0.74;0.36;0.41;517556;1279664;7188880;5118656;1988839;1987106;0;0;132283648;325964288;0.74;0.36;0.41;516733;1273298;7160124;5093192;1983227;1981618;0;0;132609792;326127360;0.74;0.36;0.41;518007;1273935;7167768;5095740;1981152;1979566;0;0;132540160;326415104;0.74;0.36;0.41;517735;1275059;7171176;5100236;1983057;1981577;0;0;
1553770186;2195110708;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100352;1591552;0.00;0.00;0.00;392;6217;26436;24868;101;33;0;0;100352;1591552;0.00;0.00;0.00;392;6217;26436;24868;101;33;0;0;100096;1591808;0.00;0.00;0.00;391;6218;26436;24872;101;33;0;0;100352;1591808;0.00;0.00;0.00;392;6218;26440;24872;101;33;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;101;33;0;0;132317440;323105024;0.74;0.36;0.41;516865;1262129;7115976;5048516;1982354;1981062;0;0;132132352;322914816;0.74;0.36;0.41;516142;1261386;7110112;5045544;1981915;1980638;0;0;132190208;322641408;0.74;0.36;0.41;516368;1260318;7106744;5041272;1982032;1980610;0;0;132180480;319987712;0.74;0.37;0.42;516330;1249952;7065128;4999808;1976287;1974927;0;0;132206848;319795712;0.74;0.37;0.42;516433;1249202;7062540;4996808;1973302;1972145;0;0;132153600;320069120;0.74;0.37;0.42;516225;1250270;7065980;5001080;1975183;1973944;0;0;
1553770187;2195119928;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;101;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;101;33;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;101;33;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;101;33;0;0;132370176;324809216;0.74;0.36;0.41;517071;1268786;7143428;5075144;1980813;1978956;0;0;132131840;324871424;0.74;0.36;0.41;516140;1269029;7140676;5076116;1980906;1979172;0;0;132345600;325287168;0.74;0.36;0.41;516975;1270653;7150512;5082612;1981216;1979564;0;0;132622592;324445696;0.74;0.36;0.41;518057;1267366;7141692;5069464;1974992;1972936;0;0;132286464;324331264;0.74;0.36;0.41;516744;1266919;7134652;5067676;1973661;1972196;0;0;132392192;324462336;0.74;0.36;0.41;517157;1267431;7138352;5069724;1975659;1973967;0;0;
1553770188;2195117056;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;101;33;0;0;100352;1591296;0.00;0.00;0.00;392;6216;26432;24864;101;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100352;1590784;0.00;0.00;0.00;392;6214;26424;24856;101;33;0;0;100096;1591296;0.00;0.00;0.00;391;6216;26428;24864;101;33;0;0;132553216;323069184;0.74;0.36;0.41;517786;1261989;7119100;5047956;1978040;1976863;0;0;132380672;322904064;0.74;0.36;0.41;517112;1261344;7113824;5045376;1978633;1977412;0;0;132304128;322741248;0.74;0.36;0.41;516813;1260708;7110084;5042832;1980102;1978669;0;0;132400640;321488640;0.74;0.36;0.41;517190;1255815;7092020;5023260;1976306;1975112;0;0;132475392;321269504;0.74;0.36;0.41;517482;1254959;7089764;5019836;1974574;1973514;0;0;132347136;321370624;0.74;0.36;0.41;516981;1255354;7089340;5021416;1974643;1973793;0;0;
1553770189;2195119780;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100096;1590272;0.00;0.00;0.00;391;6212;26412;24848;101;33;0;0;100096;1590272;0.00;0.00;0.00;391;6212;26412;24848;101;33;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;101;33;0;0;100352;1590528;0.00;0.00;0.00;392;6213;26420;24852;101;33;0;0;132298752;320367872;0.74;0.37;0.42;516792;1251437;7072916;5005748;1975836;1974955;0;0;132275456;320493056;0.74;0.37;0.42;516701;1251926;7074508;5007704;1976178;1975350;0;0;132114688;320429824;0.74;0.37;0.42;516073;1251679;7071008;5006716;1976601;1975353;0;0;132185856;319971840;0.74;0.37;0.42;516351;1249890;7064964;4999560;1970403;1969297;0;0;132041984;320008960;0.74;0.36;0.42;515789;1250035;7063296;5000140;1968740;1967948;0;0;131972352;319868416;0.74;0.37;0.42;515517;1249486;7060012;4997944;1970058;1968887;0;0;
1553770190;2195126132;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;101;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100352;1590528;0.00;0.00;0.00;392;6213;26420;24852;101;33;0;0;100096;1590272;0.00;0.00;0.00;391;6212;26412;24848;101;33;0;0;100096;1590272;0.00;0.00;0.00;391;6212;26412;24848;101;33;0;0;132271616;317910528;0.74;0.37;0.42;516686;1241838;7034096;4967352;1973906;1972838;0;0;132166912;317715200;0.74;0.37;0.42;516277;1241075;7029408;4964300;1974137;1972846;0;0;132515584;318245888;0.74;0.37;0.42;517639;1243148;7043148;4972592;1974854;1973830;0;0;132253440;317609216;0.74;0.37;0.42;516615;1240661;7029104;4962644;1969663;1968675;0;0;132065280;317284608;0.74;0.37;0.42;515880;1239393;7021092;4957572;1967001;1966470;0;0;132338688;317610496;0.74;0.37;0.42;516948;1240666;7030456;4962664;1967310;1966430;0;0;
1553770191;2195161396;100864;1591552;0.00;0.00;0.00;394;6217;26444;24868;101;33;0;0;101120;1591552;0.00;0.00;0.00;395;6217;26448;24868;101;33;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;101;33;0;0;100096;1591808;0.00;0.00;0.00;391;6218;26436;24872;101;33;0;0;100352;1591808;0.00;0.00;0.00;392;6218;26440;24872;101;33;0;0;100352;1591552;0.00;0.00;0.00;392;6217;26436;24868;101;33;0;0;132220928;316147968;0.74;0.37;0.42;516488;1234953;7005764;4939812;1970981;1969369;0;0;132150016;316009472;0.74;0.37;0.42;516211;1234412;7002492;4937648;1971595;1970069;0;0;132095744;315942912;0.74;0.37;0.42;515999;1234152;7000604;4936608;1972912;1971240;0;0;132443904;318596096;0.74;0.37;0.42;517359;1244516;7047500;4978064;1968442;1967075;0;0;132456192;318459904;0.74;0.37;0.42;517407;1243984;7045564;4975936;1967976;1966353;0;0;132462848;318934784;0.74;0.37;0.42;517433;1245839;7053088;4983356;1969677;1968233;0;0;
1553770192;2195116960;101376;1591296;0.00;0.00;0.00;396;6216;26448;24864;101;33;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;101;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100352;1590272;0.00;0.00;0.00;392;6212;26416;24848;101;33;0;0;100096;1590272;0.00;0.00;0.00;391;6212;26412;24848;101;33;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;101;33;0;0;132546048;316940288;0.74;0.37;0.42;517758;1238048;7023224;4952192;1969428;1968429;0;0;132317440;316745216;0.74;0.37;0.42;516865;1237286;7016604;4949144;1968959;1967928;0;0;132470272;316936192;0.74;0.37;0.42;517462;1238032;7021976;4952128;1970111;1968783;0;0;132132608;317027584;0.74;0.37;0.42;516143;1238389;7018128;4953556;1964968;1963710;0;0;132349952;317189888;0.74;0.37;0.42;516992;1239023;7024060;4956092;1963087;1962131;0;0;132347904;317184768;0.74;0.37;0.42;516984;1239003;7023948;4956012;1964576;1963675;0;0;
1553770193;2195119000;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100352;1591296;0.00;0.00;0.00;392;6216;26432;24864;101;33;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;101;33;0;0;100096;1590272;0.00;0.00;0.00;391;6212;26412;24848;101;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100096;1591296;0.00;0.00;0.00;391;6216;26428;24864;101;33;0;0;132168704;314327040;0.74;0.38;0.43;516284;1227840;6976496;4911360;1968975;1968122;0;0;132294400;314164992;0.74;0.38;0.43;516775;1227207;6975928;4908828;1968093;1967126;0;0;132379648;314423808;0.74;0.38;0.43;517108;1228218;6981304;4912872;1968394;1967397;0;0;132504320;316830976;0.74;0.37;0.42;517595;1237621;7020864;4950484;1963152;1962201;0;0;132345344;316644096;0.74;0.37;0.42;516974;1236891;7015460;4947564;1961938;1960990;0;0;132301568;316517632;0.74;0.37;0.42;516803;1236397;7012800;4945588;1962517;1961659;0;0;
